2264,AAAI Conference on Human Computation and Crowdsourcing,HCOMP,ICORE2026,B,Yes,4608,4605,
2354,"AAAI/ACM Conference on AI, Ethics, and Society",AIES,ICORE2026,C,Yes,4608,4602,4611
13,ACM Conference on Computer Supported Cooperative Work,CSCW,ICORE2026,A,No,4608,,
21,ACM Information Technology Education,SIGITE,ICORE2026,National: USA,No,4608,,
23,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,ICORE2026,C,No,4607,4608,
2351,ACM International Conference on Interactive Media Experiences,IMX,ICORE2026,C,Yes,4608,4607,4603
1488,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,ICORE2026,Journal Published,Yes,4608,,
1825,ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,ICORE2026,journal published,No,4608,,
38,ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,ICORE2026,A*,Yes,4607,4603,4608
2335,ACM SIGIR Conference on Human Information Interaction And Retrieval,CHIIR,ICORE2026,B,Yes,4605,4608,
55,ACM Special Interest Group on Computer Science Education Conference,SIGCSE,ICORE2026,A,Yes,4608,,
57,ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,ICORE2026,B,No,4608,,
2352,ACM Symposium on Applied Perception,SAP,ICORE2026,B,Yes,4608,4607,
66,ACM Symposium on User Interface Software and Technology,UIST,ICORE2026,A*,Yes,4608,,
85,ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,ICORE2026,B,Yes,4607,4608,
2310,ACM/IEEE International Conference on Human-Robot Interaction,HRI,ICORE2026,A*,Yes,4608,4602,
93,Advanced Visual Interfaces,AVI,ICORE2026,B,No,4608,,
126,Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,ICORE2026,B,Yes,4608,,
132,Annual International Workshop on Presence,ISPR,ICORE2026,C,No,4607,4608,
143,Applications of Information Visualization,IV-App,ICORE2026,C,No,4608,,
917,"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,ICORE2026,C,Yes,4607,4608,
211,Australasian Computing Education Conference (ACE),ACE,ICORE2026,Australasian B,Yes,4608,,
247,Australian Computer Human Interaction Conference,OZCHI,ICORE2026,Australasian B,Yes,4608,,
261,Australian Institute of Computer Ethics Conference,AICE,ICORE2026,Australasian C,Yes,4608,,
294,British Computer Society Conference on Human-Computer Interaction,HCI,ICORE2026,National,Yes,4608,,
2259,CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CHI PLAY,ICORE2026,Journal Published,Yes,4608,4607,
345,Conference for the International Simulation and Gaming Association,ISAGA,ICORE2026,C,No,4607,4608,
732,Conference on Games (was Computational Intelligence and Games CIG),COG,ICORE2026,C,Yes,4607,4608,
380,"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,ICORE2026,C,No,4608,,
385,Conference on Visualization and Data Analysis,VDA,ICORE2026,National: USA,No,4608,,
398,"Cooperative Design, Visualization, and Engineering",CDVE,ICORE2026,C,No,4608,,
2346,Creativity and Cognition,C&C,ICORE2026,B,Yes,4608,,
422,Designing Interactive Systems,DIS,ICORE2026,A,Yes,4608,,
427,Digital Games Research Conference,DIGRA,ICORE2026,C,No,4607,4608,
2193,Engineering Interactive Computing Systems,EICS,ICORE2026,Journal Published,Yes,4608,4612,
457,ETHICOMP Conference,ETHICOMP,ICORE2026,C,Yes,4608,,
2170,EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,ICORE2026,C,Yes,4606,4608,
458,Euro XR International Conference (was Euro VR),Euro XR,ICORE2026,C,Yes,4607,4608,
462,Eurographics/IEEE Symposium on Visualization,EuroVis,ICORE2026,B,Yes,4607,4608,
478,European Conference on Computer Supported Cooperative Work,ECSCW,ICORE2026,B,No,4608,,
2262,European Conference on Technology Enhanced Learning,EC-TEL,ICORE2026,B,Yes,4601,4608,
2263,Eye Tracking Research and Applications,ETRA,ICORE2026,B,Yes,4608,4607,4603
2027,Frontiers in Education,FIE,ICORE2026,C,Yes,4608,,
573,Graphics Interface,GI,ICORE2026,B,No,4607,4608,
584,Human System Interaction,HSI,ICORE2026,C,No,4608,,
2215,Human-Agent Interaction,HAI,ICORE2026,B,Yes,4608,,
611,"IEEE Conference on Systems, Man and Cybernetics",SMC,ICORE2026,B,No,4608,,
758,IEEE Conference on Virtual Reality and 3D User Interfaces,VR,ICORE2026,A*,Yes,4607,4608,
2347,IEEE Global Engineering Education Conference,EDUCON,ICORE2026,C,Yes,4601,4608,
628,IEEE International Conference on Advanced Learning Technologies,ICALT,ICORE2026,B,Yes,4601,4608,
669,IEEE International Conference on Pervasive Computing and Communications,PERCOM,ICORE2026,A*,Yes,4608,4606,
2345,IEEE International Conference on Robot and Human Interactive Communication,RO-MAN,ICORE2026,B,Yes,4608,4602,4601
2350,IEEE International Symposium on Computer-Based Medical Systems,CBMS,ICORE2026,B,Yes,4601,4608,4611
708,IEEE International Symposium on Wearable Computers,ISWC,ICORE2026,Journal Published,Yes,4608,,
720,IEEE International Working Conference on Software Visualisation,VISSOFT,ICORE2026,B,No,4608,4612,
724,IEEE Pacific Visualization Symposium (was APVIS),PacificVis,ICORE2026,B,Yes,4608,,
752,IEEE Symposium on Visual Languages and Human-Centric Computing (was VL),VL/HCC,ICORE2026,B,Yes,4608,,
759,IEEE Visualization,IEEE VIS,ICORE2026,A,Yes,4608,,
2311,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,ICORE2026,B,Yes,4605,4608,4611
785,IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,ICORE2026,A*,Yes,4607,4608,
807,IFIP TC13 Conference on Human-Computer Interaction,Interact,ICORE2026,B,Yes,4608,,
2267,Indian Conference on Human-Computer Interaction,IndiaHCI,ICORE2026,National: India,Yes,4608,,
831,Information Visualisation Theory and Practice,InfVis,ICORE2026,C,No,4608,,
833,Information Visualization in Biomedical Informatics,IVBI,ICORE2026,C,No,4601,4608,
834,Informing Science and Information Technology Education,InSITE,ICORE2026,C,No,4608,,
849,Intelligent Virtual Agents,IVA,ICORE2026,B,Yes,4602,4608,
