117	DISCEX (2)	DISCEX (2)	\N	\N
118	DISCEX (1)	DISCEX (1)	\N	\N
119	AISA	AISA	\N	\N
120	VLSI	VLSI	\N	\N
121	EDUTECH	EDUTECH	\N	\N
122	VLSI-SOC	VLSI-SOC	\N	\N
123	Asynchronous Design Methodologies	Asynchronous Design Methodologies	\N	\N
124	ICYCS	ICYCS	\N	\N
125	ICTSS	ICTSS	\N	\N
126	Protocol Test Systems	Protocol Test Systems	\N	\N
127	IWTCS	IWTCS	\N	\N
128	TestCom	TestCom	\N	\N
129	TestCom/FATES	TestCom/FATES	\N	\N
130	ONTOBRAS-MOST	ONTOBRAS-MOST	\N	\N
131	ONTOBRAS	ONTOBRAS	\N	\N
132	OTM Workshops	OTM Workshops	\N	\N
133	OTM Workshops (1)	OTM Workshops (1)	\N	\N
134	OTM Workshops (2)	OTM Workshops (2)	\N	\N
135	OTM Conferences (1)	OTM Conferences (1)	\N	\N
136	OTM Conferences (2)	OTM Conferences (2)	\N	\N
137	OTM Conferences	OTM Conferences	\N	\N
138	DRMTICS	DRMTICS	\N	\N
139	FAPR	FAPR	\N	\N
140	LocWeb	LocWeb	\N	\N
141	WS-FM	WS-FM	\N	\N
142	ICOD	ICOD	\N	\N
143	ICOD-2 Workshop on New Applications of Data Bases	ICOD-2 Workshop on New Applications of Data Bases	\N	\N
144	DB&Local Proceedings	DB&Local Proceedings	\N	\N
145	BalticDB&IS	BalticDB&IS	\N	\N
146	Baltic Computer Science	Baltic Computer Science	\N	\N
147	DB&IS	DB&IS	\N	\N
148	FedCSIS	FedCSIS	\N	\N
149	IJCCI (ICEC)	IJCCI (ICEC)	\N	\N
150	IJCCI	IJCCI	\N	\N
151	IJCCI (ECTA-FCTA)	IJCCI (ECTA-FCTA)	\N	\N
152	IJCCI (ICFC-ICNC)	IJCCI (ICFC-ICNC)	\N	\N
153	IJCCI (Selected Papers)	IJCCI (Selected Papers)	\N	\N
154	IJCCI (NCTA)	IJCCI (NCTA)	\N	\N
155	XMIDX	XMIDX	\N	\N
156	MLCW	MLCW	\N	\N
157	ICDSC	ICDSC	\N	\N
158	Complex (1)	Complex (1)	\N	\N
159	Complex (2)	Complex (2)	\N	\N
160	Complex	Complex	\N	\N
161	Winter Simulation Conference	Winter Simulation Conference	\N	\N
162	IQ	IQ	\N	\N
163	ICIQ	ICIQ	\N	\N
164	EuroITV	EuroITV	\N	\N
165	DBKDA	DBKDA	\N	\N
166	HAIS	HAIS	\N	\N
167	HAIS (1)	HAIS (1)	\N	\N
168	HAIS (2)	HAIS (2)	\N	\N
169	IAW	IAW	\N	\N
170	IPSJ	IPSJ	\N	\N
171	ISDO	ISDO	\N	\N
172	BHI	BHI	\N	\N
173	AGI	AGI	\N	\N
174	OPAALS	OPAALS	\N	\N
175	KRAMAS	KRAMAS	\N	\N
176	ICFPC	ICFPC	\N	\N
177	CSCW	CSCW	\N	\N
178	CSCW (Companion)	CSCW (Companion)	\N	\N
179	Research Directions in High-Level Parallel Programming Languages	Research Directions in High-Level Parallel Programming Languages	\N	\N
180	DDEP/PODDP	DDEP/PODDP	\N	\N
181	CIIC	CIIC	\N	\N
182	GAMENETS	GAMENETS	\N	\N
183	ICMLC	ICMLC	\N	\N
184	NPAR	NPAR	\N	\N
185	Expressive	Expressive	\N	\N
186	SET	SET	\N	\N
187	CEE-SET	CEE-SET	\N	\N
188	ÖGAI	ÖGAI	\N	\N
189	FLAI	FLAI	\N	\N
190	CNSA	CNSA	\N	\N
191	EuroIMSA	EuroIMSA	\N	\N
192	Mensch & Computer Workshopband	Mensch & Computer Workshopband	\N	\N
193	Mensch & Computer	Mensch & Computer	\N	\N
194	AIFIPP	AIFIPP	\N	\N
195	Amsterdam Colloquium on Logic, Language and Meaning	Amsterdam Colloquium on Logic, Language and Meaning	\N	\N
196	ABiALS	ABiALS	\N	\N
197	ICAT Workshops	ICAT Workshops	\N	\N
198	ICAT	ICAT	\N	\N
199	ISAS-SCI (1)	ISAS-SCI (1)	\N	\N
200	PPDP	PPDP	\N	\N
201	WIMS	WIMS	\N	\N
202	BWCCA	BWCCA	\N	\N
203	SMAP	SMAP	\N	\N
204	International Hong Kong Computer Society Database Workshop	International Hong Kong Computer Society Database Workshop	\N	\N
205	AICCSA	AICCSA	\N	\N
206	Scottish Functional Programming Workshop	Scottish Functional Programming Workshop	\N	\N
